Date,Open,Close,Volume,Returns,Range,MA_8,MA_16,HMM,MA_Signal,HMM_Signal,Main_Signal,lrets_bench,bench_prod,bench_prod_exp,lrets_strat,lrets_prod,strat_prod_exp
2018-12-31 00:00:00-05:00,229.98609139320786,230.31785583496094,144299400,0.008758908861568493,0.010991236138869542,226.07131004333496,232.91736316680908,0,0.0,1,,,,,0.0,0.0,0.0
2019-01-02 00:00:00-05:00,226.68688871000285,230.55746459960938,126925200,0.0010403395072422494,0.02138650063383385,226.11494064331055,232.2342643737793,2,0.0,0,0.0,0.0010397987291264792,0.0010397987291264792,0.0010403395072422494,0.0,0.0,0.0
2019-01-03 00:00:00-05:00,228.76039619955512,225.0557098388672,144140700,-0.023862835108360736,0.020109201756861594,225.93926620483398,231.17867469787598,1,0.0,1,0.0,-0.02415216464474514,-0.02311236591561866,-0.022847321051236547,-0.0,0.0,0.0
2019-01-04 00:00:00-05:00,228.17062512774783,232.59414672851562,142628800,0.03349587040046975,0.024032052779100477,227.28590393066406,230.59079837799072,1,0.0,1,0.0,0.03294710438953527,0.00983473847391661,0.009883258444303156,0.0,0.0,0.0
2019-01-07 00:00:00-05:00,232.87057509872707,234.4280242919922,103139100,0.007884452765774208,0.016925561069227157,229.59442520141602,230.04137992858887,0,0.0,1,0.0,0.007853532885949891,0.017688271359866503,0.017845635294453377,0.0,0.0,0.0
2019-01-08 00:00:00-05:00,236.67666464753327,236.6305694580078,102512600,0.009395400454649705,0.013031486451156482,230.8143482208252,229.63477516174316,0,1.0,1,0.0,0.009351538201388012,0.027039809561254513,0.027408702639062144,0.0,0.0,0.0
2019-01-09 00:00:00-05:00,237.358619886819,237.73646545410156,95006600,0.0046735128036363704,0.01061712476982879,231.95478439331055,229.57787990570068,0,1.0,1,1.0,0.004662625849708162,0.031702435410962675,0.03221031036541322,-0.00506025273323201,-0.00506025273323201,-0.005047471222682676
2019-01-10 00:00:00-05:00,236.16055908348463,238.57505798339844,96823900,0.0035274038742649783,0.014324867562071963,233.23691177368164,229.86601734161377,0,1.0,1,1.0,0.0035211971766227414,0.035223632587585416,0.035851333013252384,0.005525951874283305,0.00046569914105129475,0.0004658075957313379
2019-01-11 00:00:00-05:00,237.46918333487463,238.667236328125,73858100,0.0003863704173676652,0.007703423708250945,234.28058433532715,230.17594718933105,0,1.0,1,1.0,0.00038629579553844956,0.035609928383123865,0.03625155532511948,-0.0031872579459153267,-0.002721558804864032,-0.002717858721126176
2019-01-14 00:00:00-05:00,236.71351269172516,237.21116638183594,70908200,-0.0061008371684802,0.007370945376023563,235.11229705810547,230.613618850708,0,1.0,1,1.0,-0.006119523315082079,0.029490405068041785,0.029929553320496627,0.003730546486938008,0.0010089876820739761,0.0010094968813894045
2019-01-15 00:00:00-05:00,237.59823267336566,239.92979431152344,85208300,0.011460792386608576,0.011209862595730646,236.9715576171875,231.45541191101074,0,1.0,1,1.0,0.01139561502231074,0.040886020090352526,0.0417333621039353,0.011607130695307945,0.012616118377381922,0.012696037334202881
2019-01-16 00:00:00-05:00,240.37213378649693,240.51039123535156,77636700,0.0024198617161914626,0.005257080142367032,237.961088180542,232.62349605560303,0,1.0,1,1.0,0.002416938565625752,0.04330295865597828,0.044254212785370006,-0.0031488903091009338,0.009467228068280988,0.00951218402937859
2019-01-17 00:00:00-05:00,239.61641876014176,242.33502197265625,96118400,0.007586494404390187,0.015233197810519794,238.949462890625,234.2719440460205,0,1.0,1,1.0,0.007557861679204854,0.05086082033518313,0.052176441527427286,0.01893450258143656,0.02840173064971755,0.028808905484120073
