Date,Asset1,Asset2,Spread,ZScore
2017-05-25,55.777828216552734,64.71944427490234,-3.8020445236900215,-0.31824857169355464
2017-05-26,55.777828216552734,64.5600357055664,-3.655295082604006,-0.20567943032176814
2017-05-30,55.50047302246094,63.837886810302734,-3.2678494620200595,0.13585235139602367
2017-05-31,55.45265197753906,63.90354537963867,-3.376114925913228,0.01378233370361752
2017-06-01,56.44731521606445,64.49436950683594,-2.925356640600313,0.435727449151053
2017-06-02,56.4951400756836,65.40406036376953,-3.7149812692500888,-0.3546728260569765
2017-06-05,56.236907958984375,64.90702819824219,-3.515652084215297,-0.16271122085221665
2017-06-06,56.14127731323242,64.79447174072266,-3.5076647293765575,-0.15707689087145277
2017-06-07,56.20822525024414,64.8226318359375,-3.4666406071943783,-0.11342758681367181
2017-06-08,56.78206634521485,64.95389556884766,-3.013639185521498,0.336184817786126
2017-06-09,56.89683532714844,65.41343688964844,-3.3219179247008555,0.022999794999329068
2017-06-12,56.78206634521485,65.63850402832031,-3.643880766691751,-0.3019106104089231
2017-06-13,57.21244812011719,66.060546875,-3.6020261087606045,-0.261629168137553
2017-06-14,56.97334671020508,66.12618255615234,-3.9015508670819727,-0.5531892649902278
2017-06-15,56.72467422485352,65.49784088134766,-3.571780236277604,-0.22304468127373453
2017-06-16,56.70555114746094,63.10014724731445,-1.3836179578349217,1.9030394094459129
2017-06-19,57.21244812011719,63.813358306884766,-1.5332937453779039,1.7146774749627858
2017-06-20,56.53340148925781,62.8373908996582,-1.3138775638219897,1.8861401900947354
2017-06-21,56.265602111816406,62.968780517578125,-1.7026325026524418,1.5003687325541228
2017-06-22,56.3288688659668,62.39632034301758,-1.1123664095661212,2.016564788568821
2017-06-23,56.57806396484375,62.99692535400391,-1.4160804174132906,1.7094860342595068
2017-06-26,56.740997314453125,62.78108596801758,-1.0544481560089523,1.9926588733022872
2017-06-27,56.38636779785156,61.9928092956543,-0.6834004924416632,2.2517224262874507
2017-06-28,57.10521697998047,62.677860260009766,-0.5952002556824425,2.265305729724293
2017-06-29,56.70265579223633,62.18050003051758,-0.5398981303033281,2.2626121990949097
2017-06-30,56.731407165527344,62.51832580566406,-0.8221447409583362,1.9833235984632778
2017-07-03,57.10521697998047,62.79046630859375,-0.6988639091575521,2.028598356570914
2017-07-05,57.02853775024414,61.94588088989258,0.0019711356530365265,2.4961654923122443
2017-07-06,56.28093719482422,61.43912506103516,-0.2791166409263326,2.1983810786155042
2017-07-07,56.98061752319336,61.85204315185547,0.04043670120478993,2.3615860589185655
2017-07-10,56.66431427001953,60.76346206665039,0.7262669374420483,2.7481295838668722
2017-07-11,56.82726287841797,60.51946640014648,1.1138347607046555,2.87320142743535
2017-07-12,57.22023010253906,61.31713104248047,0.7724823624602593,2.5270392614399078
2017-07-13,57.29690933227539,61.36405944824219,0.8059599164944657,2.4471894242707943
2017-07-14,57.52694320678711,61.98342514038086,0.4658138469301747,2.153087426640265
2017-07-17,57.58444595336914,62.37755584716797,0.16048502694845723,1.90551794277261
2017-07-18,57.469425201416016,62.26495361328125,0.14912441671010868,1.8476227230736437
2017-07-19,57.88156509399414,63.287845611572266,-0.3803966670688368,1.497495598599938
2017-07-20,57.96783065795898,63.8978271484375,-0.855672116743726,1.1982251322392694
2017-07-21,57.862396240234375,64.03858184814453,-1.0906834674919637,1.0498428929862917
2017-07-24,57.97741317749024,63.45675659179688,-0.44004581966557765,1.416919077002978
2017-07-25,58.44706344604492,64.52657318115234,-0.955254691409742,1.0992295851327916
2017-07-26,57.97741317749024,64.33887481689453,-1.2521123041973041,0.9210943120998223
2017-07-27,57.680294036865234,64.55471801757812,-1.7479338683776078,0.6307334469923863
2017-07-28,57.5173454284668,64.15119171142578,-1.5394014444949917,0.7516136434896024
2017-07-31,57.440673828125,64.53595733642578,-1.9702832397659478,0.5012485859897984
2017-08-01,57.65153884887695,64.24504089355469,-1.491604351968391,0.7790999025299027
2017-08-02,57.248985290527344,63.85089492797852,-1.5313122967129047,0.7527514120125035
2017-08-03,57.13396835327149,63.77582931518555,-1.5772248139991305,0.7235105465887164
2017-08-04,57.34482955932617,63.55060195922852,-1.1590222539528696,0.9581702122543496
2017-08-07,57.52694320678711,63.70074462890625,-1.1151279817121846,0.9728781681324181
2017-08-08,57.34482955932617,63.07200622558594,-0.7184332899418422,1.1885015018720557
2017-08-09,56.99979019165039,62.95938491821289,-0.9597949571011526,1.0328180658262094
2017-08-10,55.8304557800293,63.0532341003418,-2.215525696605802,0.3049203709072168
2017-08-11,56.02214431762695,63.31599807739258,-2.2657342347448832,0.2681758625458444
2017-08-14,56.69308090209961,64.14180755615234,-2.3550270404258953,0.21214518117172257
2017-08-15,56.43429183959961,64.13243865966797,-2.6051912195309654,0.06171242747319613
2017-08-16,56.56847381591797,63.813358306884766,-2.1772680495771226,0.30075247154164936
2017-08-17,55.56208801269531,62.87493515014648,-2.319753785650313,0.208165222024071
2017-08-18,55.4949951171875,62.5370979309082,-2.0758381619310953,0.33993065790979604
2017-08-21,55.54291534423828,62.64033508300781,-2.122956704960501,0.3014347576585521
2017-08-22,56.07965850830078,63.20338439941406,-2.104549367075265,0.3038937557034142
2017-08-23,55.99338912963867,63.51306915283203,-2.475910473655553,0.07873672732972696
2017-08-24,56.02214431762695,63.40043640136719,-2.3434670498697727,0.14963510156117132
2017-08-25,56.24259567260742,63.07200622558594,-1.8206671766605922,0.44658918140385945
2017-08-28,56.37678146362305,62.978153228759766,-1.6000815460010713,0.5639792471459046
